Prepocessed_Text,True Label,Predicted Label,text_x,polarity,text_y
ok I have try this with NEO4J but not with great success ! any tool suggestion ?,neutral,negative,ok I have try this with NEO4J but not with great success ! any tool suggestion ?,neutral,ok i have tried this with NEO4J but not with great success! any tools suggestions ?
"if I understand your question correctly , the exception be because variable be not find inside the function . I would suggest learn scope rule in Python or read this excellent to - the - point chapter on the topic ( or search for this topic on the web!).the other thing I would recommend be not to handle all exception as you have show in your snippet . here be why . the fix code could look something like this :",neutral,positive,"if I understand your question correctly , the exception be because variable be not find inside the function . I would suggest learn scope rule in Python or read this excellent to - the - point chapter on the topic ( or search for this topic on the web!).the other thing I would recommend be not to handle all exception as you have show in your snippet . here be why . the fix code could look something like this :",neutral,"If I understand your question correctly, the exception is because variable is not found inside the function. I'd suggest learning scoping rules in Python or read this excellent to-the-point chapter on the topic (or search for this topic on the Web!).The other thing I'd recommend is not to handle all exceptions as you've shown in your snippet. Here's why.The fixed code could look something like this:"
"always open in my editor be a tab with a text version of MySQL 's manual ( ~100k line in a readable layout ) , which be extremely helpful . the version I have be very old ( when 5.0 be still in beta ) , and this valuable text - file do not exist in mysql.com anymore . be there a new version , or some tool that can create it out of the various exist format ?",positive,neutral,"always open in my editor be a tab with a text version of MySQL 's manual ( ~100k line in a readable layout ) , which be extremely helpful . the version I have be very old ( when 5.0 be still in beta ) , and this valuable text - file do not exist in mysql.com anymore . be there a new version , or some tool that can create it out of the various exist format ?",positive,"Always open in my editor is a tab with a text version of MySQL's manual (~100k lines in a readable layout), which is extremely helpful. The version I have is very old (when 5.0 was still in beta), and this valuable text-file does not exist in mysql.com anymore. Is there a newer version, or some tool that can create it out of the various existing formats?"
probably have something to do with the unbearable bugginess of the Telerik RadControls suite,negative,neutral,probably have something to do with the unbearable bugginess of the Telerik RadControls suite,negative,Probably has something to do with the unbearable bugginess of the Telerik RadControls suite
"I have get a really simple powershell script ( see below ) . I have get installutil aliased use the following in my profile : in powershell I simply : this return successfully . ( Install / commit both complete successfully ) . yet when I check the registry , or in powershell use get - pssnapin -registered it do not show my assembly . I do this the other day and it work fine , but I do not seem to be able to duplicate it ... please advise . }",neutral,positive,"I have get a really simple powershell script ( see below ) . I have get installutil aliased use the following in my profile : in powershell I simply : this return successfully . ( Install / commit both complete successfully ) . yet when I check the registry , or in powershell use get - pssnapin -registered it do not show my assembly . I do this the other day and it work fine , but I do not seem to be able to duplicate it ... please advise . }",neutral,"I've got a really simple powershell script (see below). I've got installutil aliased using the following in my profile: In powershell I simply: This returns successfully. (Install/Commit both complete successfully). Yet when I check the registry, or in powershell using get-pssnapin -registered it doesn't show my assembly. I did this the other day and it worked fine, but I don't seem to be able to duplicate it ... please advise. }"
"I be seek excellent example of Ruby dsl ( Domain Specific Languages ) . which repository , project do you know of that be worth a read ? why be it ( or : be they ) great example ? I be particularly interested in more complex example that be well thought - out and design .",neutral,positive,"I be seek excellent example of Ruby dsl ( Domain Specific Languages ) . which repository , project do you know of that be worth a read ? why be it ( or : be they ) great example ? I be particularly interested in more complex example that be well thought - out and design .",neutral,"I am seeking excellent examples of Ruby DSLs (Domain Specific Languages). Which repositories, projects do you know of that are worth a read? Why is it (or: are they) great examples? I am particularly interested in more complex examples that are well thought-out and designed."
"I would 've answer StackOverflow , but it be not open - source :)",neutral,positive,"I would 've answer StackOverflow , but it be not open - source :)",neutral,"I would've answered StackOverflow, but it's not open-source :)"
"check out it do the "" THIS BE NOT A FUNCTIONAL APP "" napkin view very well and be easy to use . have a full featured you can try out online and as an add bonus you can email your XML to your client and they can tweak it and play with it and email it back to you without have to have a license .",positive,neutral,"check out it do the "" THIS BE NOT A FUNCTIONAL APP "" napkin view very well and be easy to use . have a full featured you can try out online and as an add bonus you can email your XML to your client and they can tweak it and play with it and email it back to you without have to have a license .",positive,"Check out It does the ""THIS IS NOT A FUNCTIONAL APP"" napkin view very well and is easy to use. Has a full featured you can try out online and as an added bonus you can email your XML to your client and they can tweak it and play with it and email it back to you without having to have a license."
"the most correct / idiomatic solution ( if you can not avoid have a collection to begin with ) be to use an : put the into a lambda be not go to make anything any easy . in fact , it will only create more work . of course if you really hate use an you can avoid it , not that it will really help you much : you could emulate the more functional style concept with a method that invoke an action if the object be not , not that this be really any easy than a check when deal with action instead of function :",neutral,negative,"the most correct / idiomatic solution ( if you can not avoid have a collection to begin with ) be to use an : put the into a lambda be not go to make anything any easy . in fact , it will only create more work . of course if you really hate use an you can avoid it , not that it will really help you much : you could emulate the more functional style concept with a method that invoke an action if the object be not , not that this be really any easy than a check when deal with action instead of function :",neutral,"The most correct/idiomatic solution (if you cannot avoid having a collection to begin with) is to use an : Putting the into a lambda isn't going to make anything any easier. In fact, it'll only create more work.Of course if you really hate using an you can avoid it, not that it'll really help you much: You could emulate the more functional style concept with a method that invokes an action if the object isn't , not that this is really any easier than a check when dealing with actions instead of functions:"
StyleReports be one of the most heinous toolsuite I have ever have to use .,negative,neutral,StyleReports be one of the most heinous toolsuite I have ever have to use .,negative,StyleReports is one of the most heinous toolsuites I've ever had to use.
"if you do not have alot of row return I will often use function . if its lot of row , I will just do the query in SQL Developer and save as xls , businessy type love excel for some reason .",neutral,positive,"if you do not have alot of row return I will often use function . if its lot of row , I will just do the query in SQL Developer and save as xls , businessy type love excel for some reason .",neutral,"If you don't have alot of rows returned I'll often use function. If its lots of rows, i'll just do the query in SQL Developer and save as xls, businessy types love excel for some reason."
I be just go through the same process ! I be look at this page : < link > which start talk about coffee shop ! at that point I give up . you have get to love java / oracle documentation !,negative,positive,I be just go through the same process ! I be look at this page : < link > which start talk about coffee shop ! at that point I give up . you have get to love java / oracle documentation !,negative,I'm just going through the same process! I was looking at this page: http://docs.oracle.com/javase/tutorial/jdbc/basics/connecting.html which starts talking about coffee shops! At that point I gave up. You've got to love java/oracle documentation!
"accord to the documentation in VB6 the Mid function return a variant , but mid$ return a string and apparently this be more efficient . my question be : what simple test can I use to discern the difference in performance ? I try look at simple app which do a few string operation , with , but there be no discernible difference . be it worth worry about ? I have get into the habit of use the $ -ized function , but should I recommend everybody on my team to use it as well ?",negative,neutral,"accord to the documentation in VB6 the Mid function return a variant , but mid$ return a string and apparently this be more efficient . my question be : what simple test can I use to discern the difference in performance ? I try look at simple app which do a few string operation , with , but there be no discernible difference . be it worth worry about ? I have get into the habit of use the $ -ized function , but should I recommend everybody on my team to use it as well ?",negative,"According to the documentation in VB6 the Mid function returns a variant, but Mid$ returns a string and apparently this is more efficient. My questions are : What simple test can I use to discern the difference in performance ? I tried looking at simple app which did a few string operations, with , but there was no discernible difference. Is it worth worrying about? I've gotten into the habit of using the $-ized functions, but should I recommend everybody on my team to use it as well ?"
in about 4 month from now I should be able to show you one = P,positive,neutral,in about 4 month from now I should be able to show you one = P,positive,in about 4 months from now I should be able to show you one =P
"would 've love to . but there be no hash_map in the C++ standard library , and PHB 's do not allow code outside of that .",negative,positive,"would 've love to . but there be no hash_map in the C++ standard library , and PHB 's do not allow code outside of that .",negative,"Would've loved to. But there is no hash_map in the C++ standard library, and PHB's don't allow code outside of that."
"can anyone recommend some good resource that highlight the difference between Oracle and the AS/400 database ? I be try to help someone with a lot of AS/400 experience implement an Oracle installation , and they need some guidance . A book or online resource would be ideal .",neutral,positive,"can anyone recommend some good resource that highlight the difference between Oracle and the AS/400 database ? I be try to help someone with a lot of AS/400 experience implement an Oracle installation , and they need some guidance . A book or online resource would be ideal .",neutral,"Can anyone recommend some good resources that highlight the differences between Oracle and the AS/400 database? I am trying to help someone with a lot of AS/400 experience implement an Oracle installation, and they need some guidance. A book or online resource would be ideal."
"this be for facial recognition , and auto submitting username and password in your browser , if you be in front of your PC . nothing malicious bout that ? ! ?",negative,neutral,"this be for facial recognition , and auto submitting username and password in your browser , if you be in front of your PC . nothing malicious bout that ? ! ?",negative,"this is for facial recognition, and auto submitting username and passwords in your browser, if you are in front of your PC. nothing malicious bout that ?!?"
horribly inefficient ! it re - encodes the image each time . try this instead .,negative,positive,horribly inefficient ! it re - encodes the image each time . try this instead .,negative,Horribly inefficient! It re-encodes the image each time. Try this instead.
"per:<link > need to be register as a member of a Google + or Google Group that be designate for beta or alpha testing by the developer . if you be not register , you will only be able to download the production app from Google Play , NOT the beta or Alpha version of the app from Google Play . have the "" link "" will not be sufficient , you need to opt - in to the beta or alpha via Google + or Google Group . please note that even if you properly opt - in via Google + or Google Groups as define by the developer , you will need to wait several hour ( perhaps 2 - 8 hour ) for your status to propagate via Google Play . so , perhaps you need to wait 2 - 8 hour even if your beta / alpha status be proper?Hope this help !",positive,neutral,"per:<link > need to be register as a member of a Google + or Google Group that be designate for beta or alpha testing by the developer . if you be not register , you will only be able to download the production app from Google Play , NOT the beta or Alpha version of the app from Google Play . have the "" link "" will not be sufficient , you need to opt - in to the beta or alpha via Google + or Google Group . please note that even if you properly opt - in via Google + or Google Groups as define by the developer , you will need to wait several hour ( perhaps 2 - 8 hour ) for your status to propagate via Google Play . so , perhaps you need to wait 2 - 8 hour even if your beta / alpha status be proper?Hope this help !",positive,"Per:https://support.google.com/googleplay/android-developer/answer/3131213?hl=enYou need to be registered as a member of a Google + or Google Group that is designated for Beta or Alpha testing by the Developer. If you are not registered, you will only be able to download the production app from Google Play, NOT the Beta or Alpha version of the app from Google Play. Having the ""link"" won't be sufficient, you need to opt-in to the beta or alpha via Google + or Google Group. Please note that even if you properly opt-in via Google + or Google Groups as defined by the developer, you will need to wait several hours (perhaps 2-8 hours) for your status to propagate via Google Play. So, perhaps you need to wait 2-8 hours even if your Beta/Alpha status is proper?Hope this helps!"
"holy thread abuse , Batman !",negative,positive,"holy thread abuse , Batman !",negative,"Holy thread abuse, Batman!"
I really like which C++ however you can easily translate that to C # the author have a web site too .,positive,neutral,I really like which C++ however you can easily translate that to C # the author have a web site too .,positive,I really liked which C++ however you can easily translate that to C# the author has a web site too.
< @user > : depend on how it be use . A common view be that any markup ( HTML or otherwise ) embed in code be a horrible idea ( see Uncle Bob 's book on that ),neutral,negative,< @user > : depend on how it be use . A common view be that any markup ( HTML or otherwise ) embed in code be a horrible idea ( see Uncle Bob 's book on that ),neutral,@Randolpho: Depends on how it is used. A common view is that any markup (HTML or otherwise) embedded in code is a horrible idea (see Uncle Bob's book on that)
I have discover that my Python code be a lot flat than my C++ code . do not know why .,negative,neutral,I have discover that my Python code be a lot flat than my C++ code . do not know why .,negative,I've discovered that my Python code is a lot flatter than my C++ code. Don't know why.
"the problem be in ' third integer ' variable , miss the underscore . see my code : < link > your code!simone",neutral,positive,"the problem be in ' third integer ' variable , miss the underscore . see my code : < link > your code!simone",neutral,"The problem is in 'third integer' variable, missing the underscore. see my code: http://jsfiddle.net/Magicianred/3k5tS/Enjoy your code!Simone"
"this be an internal error * in the Python C code * . something more heinous be go on here , I do not think this be an error in your Python code .",negative,neutral,"this be an internal error * in the Python C code * . something more heinous be go on here , I do not think this be an error in your Python code .",negative,"This is an internal error *in the Python C code*. Something more heinous is going on here, I don't think this is an error in your Python code."
"Anti - JavaScript snobbery ! every language use a separate platform on some level to parse and execute the code . JavaScript be just another language , capable of write "" program "" or "" script "" .",negative,positive,"Anti - JavaScript snobbery ! every language use a separate platform on some level to parse and execute the code . JavaScript be just another language , capable of write "" program "" or "" script "" .",negative,"Anti-JavaScript snobbery! Every language uses a separate platform on some level to parse and execute the code. JavaScript is just another language, capable of writing ""programs"" or ""scripts""."
you do not know if thread be kill unless you catch a signal that tell you so !,neutral,positive,you do not know if thread be kill unless you catch a signal that tell you so !,neutral,You don't know if threads are killed unless you catch a signal that tells you so!
"+1 for * "" ... the debate be about * * what * * be actually meta datum . "" *",positive,neutral,"+1 for * "" ... the debate be about * * what * * be actually meta datum . "" *",positive,"+1 for *""...the debate was about **what** was actually meta data.""*"
because SharePoint be intent on make development painful ;),neutral,negative,because SharePoint be intent on make development painful ;),neutral,Because SharePoint is intent on making development painful ;)
"while your basic point be correct , the code you have show be much slow than the two version give in the question : Afaik , you get four ` int ` in one cache line , that mean on average you get a latency of less than 30 cycle to load the datum ( not consider prefetching ) , you have conditional jump in your loop ( modern architecture hate mispredicte those ) , so you get much , much more than a cycle for each loop iteration . I would wager , your swap will take at least 100 to 200 cycle , probably more , but that heavily depend on the number you be swap ( how many misprediction be make ) .",neutral,negative,"while your basic point be correct , the code you have show be much slow than the two version give in the question : Afaik , you get four ` int ` in one cache line , that mean on average you get a latency of less than 30 cycle to load the datum ( not consider prefetching ) , you have conditional jump in your loop ( modern architecture hate mispredicte those ) , so you get much , much more than a cycle for each loop iteration . I would wager , your swap will take at least 100 to 200 cycle , probably more , but that heavily depend on the number you be swap ( how many misprediction be make ) .",neutral,"While your basic point is correct, the code you've shown is much slower than the two versions given in the question: Afaik, you get four `int` in one cache line, that means on average you get a latency of less than 30 cycles to load the data (not considering prefetching), you have conditional jumps in your loop (modern architectures hate mispredicting those), so you get much, much more than a cycle for each loop iteration. I'd wager, your swap will take at least 100 to 200 cycles, probably more, but that heavily depends on the numbers you are swapping (how many mispredictions are made)."
"Most of the time when Iphone program crash , compiler show stack with full of no 's , but these no 's do not make any sense to I . very rarely it point out where the problem might be and mostly there be these useless no 's . how you can make sure that when your program crash while development / testing , it show at what place this cause this crash ?",negative,neutral,"Most of the time when Iphone program crash , compiler show stack with full of no 's , but these no 's do not make any sense to I . very rarely it point out where the problem might be and mostly there be these useless no 's . how you can make sure that when your program crash while development / testing , it show at what place this cause this crash ?",negative,"Most of the times when Iphone program crash, compiler show stack with full of no's, but these no's don't make any sense to me. Very rarely it point out where the problem might be and mostly there are these useless no's. How you can make sure that when your program crashes while development/testing, it shows at what place this cause this crash?"
"why do not you simply wrap the absolutely excellent XOM with implicit conversion and such ? yes , it will not give you scala 's XML - native - syntax style out of the box ...",neutral,negative,"why do not you simply wrap the absolutely excellent XOM with implicit conversion and such ? yes , it will not give you scala 's XML - native - syntax style out of the box ...",neutral,"Why dont you simply wrap the absolutely excellent XOM with implicit conversions and such? Yes, it won't give you scala's XML-native-syntax style out of the box..."
"A unit test should do the same thing every time that it run , otherwise you may run into a situation where the unit test only fail occasionally , and that could be a real pain to debug . try seed your pseudo - randomizer with the same seed every time ( in the test , that be -- not in production code ) . that way your test will generate the same set of input every time . if you can not control the seed and there be no way to prevent the function you be test from be randomize , then I guess you be stick with an unpredictable unit test . :(",negative,neutral,"A unit test should do the same thing every time that it run , otherwise you may run into a situation where the unit test only fail occasionally , and that could be a real pain to debug . try seed your pseudo - randomizer with the same seed every time ( in the test , that be -- not in production code ) . that way your test will generate the same set of input every time . if you can not control the seed and there be no way to prevent the function you be test from be randomize , then I guess you be stick with an unpredictable unit test . :(",negative,"A unit test should do the same thing every time that it runs, otherwise you may run into a situation where the unit test only fails occasionally, and that could be a real pain to debug. Try seeding your pseudo-randomizer with the same seed every time (in the test, that is--not in production code). That way your test will generate the same set of inputs every time. If you can't control the seed and there is no way to prevent the function you are testing from being randomized, then I guess you are stuck with an unpredictable unit test. :("
try this : the let it run over any file ( incredibly dangerous ! ) but the revision specifi limit it to the specific file include in that changelist .,neutral,negative,try this : the let it run over any file ( incredibly dangerous ! ) but the revision specifi limit it to the specific file include in that changelist .,neutral,Try this: The lets it run over any file (incredibly dangerous!) but the revision specifier limits it to the specific files included in that changelist.
your operating system do dozen of stat call per second already . do not worry about it .,positive,neutral,your operating system do dozen of stat call per second already . do not worry about it .,positive,Your operating system does dozens of stat calls per second already. Don't worry about it.
so to do this I would keep a list of axis and when I delete the content of one I would swap it out with a full one . I think the example below solve the problem ( or at least give an idea of how to solve it ): the extremely ugly for loop construct be really just a placeholder to give an example of how the axis can be swap .,neutral,negative,so to do this I would keep a list of axis and when I delete the content of one I would swap it out with a full one . I think the example below solve the problem ( or at least give an idea of how to solve it ): the extremely ugly for loop construct be really just a placeholder to give an example of how the axis can be swap .,neutral,So to do this I would keep a list of axes and when I delete the contents of one I would swap it out with a full one. I think the example below solved the problem (or at least gives an idea of how to solve it): The extremely ugly for loop construct is really just a placeholder to give an example of how the axes can be swapped.
so to do this I would keep a list of axis and when I delete the content of one I would swap it out with a full one . I think the example below solve the problem ( or at least give an idea of how to solve it ): the extremely ugly for loop construct be really just a placeholder to give an example of how the axis can be swap .,neutral,negative,so to do this I would keep a list of axis and when I delete the content of one I would swap it out with a full one . I think the example below solve the problem ( or at least give an idea of how to solve it ): the extremely ugly for loop construct be really just a placeholder to give an example of how the axis can be swap .,negative,So to do this I would keep a list of axes and when I delete the contents of one I would swap it out with a full one. I think the example below solved the problem (or at least gives an idea of how to solve it): The extremely ugly for loop construct is really just a placeholder to give an example of how the axes can be swapped.
"I be afraid I can not entirely follow your question - do you want to have a sign up form for membership or email notification show as an article ? if so , then the easy way be to install ' m2c ' - the ' module to component ' component . then you can put any module ( ie the sign up box ) in the centre content area . the m2c component can be find here :",negative,neutral,"I be afraid I can not entirely follow your question - do you want to have a sign up form for membership or email notification show as an article ? if so , then the easy way be to install ' m2c ' - the ' module to component ' component . then you can put any module ( ie the sign up box ) in the centre content area . the m2c component can be find here :",negative,"I'm afraid I can't entirely follow your question - do you want to have a sign up form for membership or email notifications shown as an article? If so, then the easiest way is to install 'm2c' - the 'module to component' component. Then you can put any module (ie the sign up box) in the centre content area. The m2c component can be found here:"
do not mean nothing . you have to use,negative,neutral,do not mean nothing . you have to use,negative,doesn't mean nothing. You have to use
why be ` AbstractMap . SimpleEntry ` convolute ?,negative,neutral,why be ` AbstractMap . SimpleEntry ` convolute ?,negative,Why is `AbstractMap.SimpleEntry` convoluted?
"AT what stage be you populate the ListBox ? I fear you be do it too late to be persist in the page , if ViewState be not somehow disabled .",neutral,negative,"AT what stage be you populate the ListBox ? I fear you be do it too late to be persist in the page , if ViewState be not somehow disabled .",neutral,"AT what stage are you populating the ListBox? I fear you are doing it too late to be persisted in the page, if ViewState is not somehow disabled."
"I want to catch all URL 's in the root folder of the url < link > the url can not end in a trail slash , and can not contain any slash at all . so these should pass : < link > < link > < link > * * fail ! < link > * * FAIL !",negative,positive,"I want to catch all URL 's in the root folder of the url < link > the url can not end in a trail slash , and can not contain any slash at all . so these should pass : < link > < link > < link > * * fail ! < link > * * FAIL !",negative,"I want to catch all URL's in the root folder of the url www.example.com The url cannot end in a trailing slash, and can't contain any slashes at all. so these should pass: www.example.com/abc www.example.com/abc123-asdf www.example.com/abc123/ ** fail! www.example.com/asdfsd/asdf ** FAIL!"
how to add some text between content tag . say wow it work !,neutral,positive,how to add some text between content tag . say wow it work !,neutral,How to add some text between content tags. Say Wow it works!
why do you hate Photoshop ?,neutral,negative,why do you hate Photoshop ?,neutral,Why do you hate Photoshop?
you can just see all the W3C Examples and you will be fine ! Delete a Cookie with JavaScript delete a cookie be very simple . just set the expire parameter to a pass date :,neutral,positive,you can just see all the W3C Examples and you will be fine ! Delete a Cookie with JavaScript delete a cookie be very simple . just set the expire parameter to a pass date :,neutral,You can just see all the W3C Examples and you'll be fine! Delete a Cookie with JavaScript Deleting a cookie is very simple. Just set the expires parameter to a passed date:
I have a complex site that incorporate alot of javascript and it be get absolutely KILL by IE7 . how would I go about serve this code : HTML JS in such a way that IE7 never get the and therefore never hide ?,negative,neutral,I have a complex site that incorporate alot of javascript and it be get absolutely KILL by IE7 . how would I go about serve this code : HTML JS in such a way that IE7 never get the and therefore never hide ?,negative,I have a complex site that incorporates alot of javascript and it is getting absolutely KILLED by IE7. How would I go about serving this code: HTML JS In such a way that IE7 never gets the and therefore never hides ?
"in element would receive a unique identifier ( a cache key ) when require , store in the property of a node , . . so in I be curious , as I be in the process of implement similar logic , how jQuery identify a node in . reference a line number in the github repo would be excellent !",neutral,positive,"in element would receive a unique identifier ( a cache key ) when require , store in the property of a node , . . so in I be curious , as I be in the process of implement similar logic , how jQuery identify a node in . reference a line number in the github repo would be excellent !",neutral,"In elements would receive a unique identifier (a cache key) when required, stored in the property of a node, . . So in I was curious, as I'm in the process of implementing similar logic, how jQuery identify a node in . Referencing a line number in the github repo would be excellent!"
"one potentially valid reason to impose some maximum password length be that the process of hash it ( due to the use of a slow hashing function such as bcrypt ) take up too much time ; something that could be abuse in order to execute a DOS attack against the server . then again , server should be configure to automatically drop request handler that take too long . so I doubt this would be much of a problem .",neutral,negative,"one potentially valid reason to impose some maximum password length be that the process of hash it ( due to the use of a slow hashing function such as bcrypt ) take up too much time ; something that could be abuse in order to execute a DOS attack against the server . then again , server should be configure to automatically drop request handler that take too long . so I doubt this would be much of a problem .",neutral,"One potentially valid reason to impose some maximum password length is that the process of hashing it (due to the use of a slow hashing function such as bcrypt) takes up too much time; something that could be abused in order to execute a DOS attack against the server. Then again, servers should be configured to automatically drop request handlers that take too long. So I doubt this would be much of a problem."
"I be use a WPF validation for TextBox validation . I have define this template : the TextBox be locate on a form in a TabItem . everything work fine , but the ' ! ' TextBlock stay visible when I choose other TabItems . this behaviour be observe in many other case - when expander expand etc .. the Excklamation always stay visible on the same place , although the TextBox be not diplaye .",neutral,positive,"I be use a WPF validation for TextBox validation . I have define this template : the TextBox be locate on a form in a TabItem . everything work fine , but the ' ! ' TextBlock stay visible when I choose other TabItems . this behaviour be observe in many other case - when expander expand etc .. the Excklamation always stay visible on the same place , although the TextBox be not diplaye .",neutral,"I'm using a WPF validation for TextBox validation. I have defined this Template: The TextBox is located on a form in a TabItem. Everything works fine, but the '!' TextBlock stays visible when I choose other TabItems. This behaviour is observed in many other cases - when expander expands etc.. the Excklamation always stays visible on the same place, although the TextBox is not diplayed."
"I be not sure what you mean by "" pure C "" but strchr ( ) and string.h have be part of Standard C for 20 year .",negative,neutral,"I be not sure what you mean by "" pure C "" but strchr ( ) and string.h have be part of Standard C for 20 year .",negative,"I'm not sure what you mean by ""pure C"" but strchr() and string.h have been part of Standard C for 20 years."
I have add a reference to an excellent article show to go about it .,neutral,positive,I have add a reference to an excellent article show to go about it .,neutral,I have added a reference to an excellent article showing to go about it.
"you could try use the HTML < button > tag instead of a link or a submit button . for example , the < button > tag be much easy to style than the standard < input type=""submit "" > . there be some cross - browser quirk but they be not insurmountable . A really great article about the use of < button > can be find at particletree :",neutral,positive,"you could try use the HTML < button > tag instead of a link or a submit button . for example , the < button > tag be much easy to style than the standard < input type=""submit "" > . there be some cross - browser quirk but they be not insurmountable . A really great article about the use of < button > can be find at particletree :",neutral,"You could try using the HTML <button> tag instead of a link or a submit button. For example, The <button> tag is much easier to style than the standard <input type=""submit"">. There are some cross-browser quirks but they are not insurmountable. A really great article about the use of <button> can be found at particletree:"
