,id,polarity,text
73,t103,neutral,"make canva path glow appli seri overlap shadow increas blura demo: <link> chang style glow vari number overlay blur size.exampl code glow effect: to get outlin path phone image, use ""march ants"" algorithm.thi algorithm creat path outlin image. in case would defin imag pixel transparent.her good implement ""march ants"" use excel d3 library:<link> use like this:drawimag phone canvas. get pixel color array canva use ctx.getimagedata defin function check pixel array non-transpar pixel x,i canvas. call contour function: here exampl result:th glow automat generat use overlap shadowsth outlin path phone calcul use march ant algorithm"
74,t104,positive,"it would good practic separ button disabl method sinc easi get confus use program code disabl enabl method written one method name i suggest separ make program design precise.next thing execut whic go mark after done use .here how: be warn sometim danger throw except creat bugs, option hurt much tri disabl function. by way, realli remov method replac it, choos method receiv this. hope helpful!"
75,t105,negative,"i want duplic larg table, i want copi row row. is way duplic it? for example, truncat w/o delet row/row, wonder someth similar copi entir tabl update: row row insert pain (becaus 120m rows). anyway avoid that?"
76,t106,negative,"yeah, i know, i can't figur privat come from. it frustrating!"
77,t107,positive,excellent! php realli impress language.
78,t108,positive,"if need count (like express origin question), could do: hope helps!"
79,t109,positive,"there two issu regex pattern: firstly, forgot add beginning. last charact checked, say: check entir input. secondly, cyril check seem correct. still, i use cyril letter i care i judg ;) hope helps!"
80,t110,positive,"cool, go next suggestion! good luck :)"
81,t111,negative,answer yet.... sad =(
82,t113,positive,you use hope helps!
83,t114,negative,yeaa im sure would abl store user input string array. i'v look around onlin tri code. so im sure. i realli hate mips. :(
84,t116,positive,that great :)
85,t117,neutral,"some code seem redundant, i remov some. such defin duplic i defin once. i got rid sinc easili enter valu directly.then i got rid whole get latest file log folder, ad content log file defin earlier. i chang log entri done tab entri type, date, actual entri line nice view log file.last i chang whole if>elseif>elseif thing switch, switch awesom total underused! oh yeah, i got rid pointless defin variabl echo it. what could section write-host error call log function again, peopl forc enter valid entry."
86,t119,negative,<@user> what emoticon terribl embarrassed!
87,t120,neutral,"[fiddle](<link> relat tabl layout auto versus fixed. the fiddl show work both. if still see problem use newer version jquery-ui, must anoth issu code."
88,t121,negative,i implement visual studio addon visual instal intellisens member completion.if type variabl follow period (.) list possibl member class present list choose:second option move cursor class view members:se detail here: <link> sorri self promo tlama angri promot 3rd parti softwar inno question support offici inno setup editor mani peopl ask this.
89,t122,positive,"how train neural network pattern recognition? for exampl face recognit pictur would defin output neurons? (eg. detect face exactly, rather say face camera). also, detect multipl face differ size faces? if anyon could give pointer would realli great cheers!"
90,t125,positive,"question came differ team. the question ""how queri user exchang server particular user group"". it said exchang server user group link ad group. the exampl could get queri base ad group. i heard two way either sql directoryservices. either solut fine, directoryservic super awesome! thank again!"
91,t126,neutral,what images? display browser?
92,t128,negative,it realli painful get code form tfs whenev make build use nant. is set ccnet.config take file chang form last time speed process.
93,t129,negative,"i'm sure controlcollect asp.net works, mayb someon shed light me. i recent discov magic extens method linq. well, i sad find valid syntax howev i tell, implement interfac provid methods, gives? whi work? i found decent work around issu least:"
94,t130,positive,"<@user> u industri sooner later ""meet"" martin thompson excel blog, i'm glad introduc it. :) <link> happi reading!"
95,t133,negative,"definit differ view ""easier"" method achiev functionality, deal thread easier"
96,t135,positive,"is shorthand new line charact scala? in java (on windows) i usual use ""\n"", seem work scala specif output eclipse, (sic) command line, repl (great success!) works, anyth shorter?"
97,t136,positive,"i long scroll page, want test element 100px top, appli class elsewher (until next element line 100px top) if i could get basic statement i would ecstatic, anyth extra would bonus!"
98,t137,positive,<@user> no worries! glad help :)
99,t138,positive,excel point! thanks!! i mean left side though.. (i specifi that). was glad learn insight though..
100,t139,positive,"you followed:when app started/ run start notification, oncreat get called. when app run (background foreground), start new intent notif method get called: (if use singletop) to detect whether app run back- foreground, simpli set boolean onpause/onresume: hope helps!"
101,t140,negative,"i caught that, firefox preform spell check titl field reason."
102,t141,positive,"u need worry!intern data alway store text, even creat tabl sqlite go follow rule data type"
103,t144,negative,"i'm tri output follow within liquid template: obviously, liquid see variabl name tri substitution. i'm tri find i output actual braces. so far, i'v found one method works, incred ugly: yeah, told gross. here thing i'v tried: ani advic here?"
104,t145,neutral,"asset bundl apk read only. you cannot delet app.if realli worri storag usage, consid altern databas distribut mechan download network."
105,t146,negative,exact i'm ask that fear!
106,t147,positive,<3 <3 <3 :)
107,t148,negative,i need perform hash server side. all code i dig seem run compress tool. devastating.
108,t149,neutral,just make list type twice. i.e. list list new arraylist()
109,t150,negative,"i'm look automat way possible. surrond everi queri stopwatch would work, lot work."
110,t151,neutral,"you need make follow chang code: howev keep mind extrem vulner sql injection, also swap mysql pdo/mysqli immedi plan use code live website."
111,t152,neutral,"i notic also call **sortable** reporttablebodi class, class exist fiddl code."
112,t154,positive,i instead bother i'd like myself. i realli enjoy tri new thing far figur fun!
113,t156,negative,"you process newlin charact legitim input. you either read entir line (includ newline, perhap use process first charact line simpli add test skip newlin loop logic.p.s. convert case ad subtract 32 realli aw approach. it work anyth a-z a-z (in english alphabet). it work charact outsid basic latin block use charact altern case (such newline). you use instead."
114,t157,positive,"is way pattern match f# check see element two element tupl equal. i'm incred new f#, also new whole concept pattern match general. i think someth along line of... but i guess would easi hah. ani suggestions? or even way that? thank help, guy incred helpful!"
115,t158,negative,unless abl demonstr problem display code i'm afraid there much i help out.
116,t159,neutral,nope. it come right up.
117,t160,positive,gosh right !!! excel !!!! is way expand programat i ad .setongoing(true) (to top) expanded... (not realli top first one notif i'm plug usb tool developp ). thank friend
118,t161,negative,<@user> pickard: that realli sad :'( :'( :'(
119,t162,neutral,the first line set file name variabl set field separ comma. the second line set output field separ comma too. the third line print line 3 field new file; fourth line print line 3 field error file.not code would excruci slow big file execut two process per line. this code one process oper whole file realli import input grow thousand million lines.
120,t163,positive,excellent! thanks.
121,t165,negative,"sorry, i tri help obvious misread question. no need get angry!"
122,t166,positive,great! good hear it. can pleas accept answer? :)
123,t168,positive,you right. see update! make suggest pls i'll catch thought ;)
124,t169,negative,"i function name call setvalue, use mani classes. also, global function name. when press c-], goe arbitrari setvalu function. how direct jump global setvalu function? it realli pain use tnext everi time find function global."
125,t170,neutral,"also, fiddl exampl seem cut much bigger project lot superflu code hang around. i think abl duplic issu fiddl pare code elimin make easier troubleshoot."
126,t174,neutral,jqueri abuse! use css: html: fiddlethi much faster jqueri (as everyth css).
127,t175,positive,that hope :)
128,t176,positive,<@user>. excel thought. edited.
129,t178,positive,"this work excellent, thank much! (trim('0'||mycolumns))"
130,t179,negative,don't access version i'm afraid :(
131,t180,neutral,"i wonder whether anyon know tool avail perform task analyz one css files, determin similar various rule within file present user option merg reduct rulesets. i ask project i work reach point much css internet explor (still bottom line i'm afraid) choke css page load, caus 3-5 second lock-up interact choke processed. in case wondering: yes, i sure css caus issue."
132,t182,neutral,no problem. i see got answer above. did satisfi question anyth else?
133,t183,neutral,"ad bounti see i get full answer (ideally: code snippet that, ad above, answer question)."
134,t184,positive,that excellent! pleas post answer i accept it.
135,t186,negative,to honest i even know start. i guess solut might entail use zillion iif statements. i'm fair new i'm afraid!
136,t187,positive,"i second tri put whole path instead. for relat paths, compil run command line/terminal, need studentrecords.txt directori code files.if use ide, need put studentrecords.txt src/ folder. this assum maven project setup; otherwis put /src/main/java/resources/ .hope helps!"
137,t188,positive,you use mercuri googl code now. i never tri git i'm love mercurial.
138,t189,negative,"whenev drag-n-drop store procedur onto context canvas, parameters/argu store procedur nullable. whi this? is i'v declar paramet insid store procudur itself? besid manual creat store procedur method context partial class (or drag-n-drop onto canvas, cut autogen'd code, move partial class, remov nullabl types) .. way fix this? it realli frustrat :("
139,t190,negative,"it horrible! no, seriously, i like it."
140,t191,negative,worri ie compatibility!!
141,t192,negative,"the problem never run method, field stay zero. it realli terribl idea give field method name."
142,t193,positive,excellent! cheer dude
143,t194,negative,"arrrghhh, i hate peopl downvot answer without leav comment downvote..."
144,t197,negative,"james, stack trace function name. noth more. frustrat :("
145,t198,neutral,"turn pretti small tweak, almost there! you re-set option prior want new select box, visual change: which success redraw box upon singl click like within fiddle, listen dimens set within object:demo fiddle: <link>"
146,t199,negative,i add element thing throw error can't find something. do normal use try/except find_el commands? oh sad :(
147,t202,neutral,"no communications. just tri get one run other, pass params. they instal directori program file access file app data."
148,t203,negative,"so, follow hack seem work, realli incred ugli imo, reli control line-height use absolut positioning. worse, requir know mani line text, depend width div font-size, probabl requir js compute.anyway, disclaimers, here hack: use two div text, one top other. one justified, one centered. then clip justifi one.html css fiddle.of course, code hard-cod specif width. again, probabl need js order comput number line div. i'm pretti sure get implement webkit probabl find eleg solut problem."
149,t205,positive,"per:<link> need regist member googl googl group design beta alpha test developer. if registered, abl download product app googl play, not beta alpha version app googl play. have ""link"" sufficient, need opt-in beta alpha via googl googl group. pleas note even proper opt-in via googl googl group defin developer, need wait sever hour (perhap 2-8 hours) status propag via googl play. so, perhap need wait 2-8 hour even beta/alpha status proper?hop helps!"
150,t207,positive,"i'm build littl script chang content css live page base upon valu various input fields. i'm abl chang content ""live"" absolut fine see here: i'm abl get work css method use principl though: thanks!"
151,t208,positive,it would super great! help ifram cooki stuff... data.messag contain url
152,t209,neutral,"hxt, librari use pars xml, good exampl usag arrow (have look often word occur modul name package!). you shall look great tutorial: <link> also good arrow concept functions. for exampl follow code works, instanc arrow class (the oper defin control.arrow).thank arrow syntax also great tool write complex comput haskel (it work well functions, monad xml filter hxt)."
153,t210,positive,"i need transform i tri use wrapal jquery, someth like ani suggest would realli appreci :) thank much"
154,t211,positive,thank feedback! it pleasure!
155,t212,positive,that would great! <@user>: contact establish :-)
156,t214,positive,all asset place folder you access asset use method laravel html helper method i.e includ javascript file: hope helps!
157,t215,neutral,"i know that, that i wrote unsupport (exclam mark). it meant asid central question."
158,t217,positive,"i'm knowledg whole ""server-side"" idea. right now, i want start learn send data window mobil phone applic server. i'm pretti good c# make apps. i need learn send data server/mobil application. i use silverlight (the latest one) api window phone app. at moment, ""hello world"" sort program would awesome. ani help extrem appreciated! subby~"
159,t218,neutral,no i not. the question files..
160,t219,negative,"sorry, i clear. you would need add bool properti class. it origin sound singl place handl notif display errors."
161,t220,neutral,"what matter code readable. if worried, add comment -- that they'r for! have said that, mayb stopiter players."
162,t222,positive,i creat new project use core data copi app deleg code core-data need current project app delegate.. appdelegate.m look like now. my question follow is urlforresourc part code ment reflect name xcdatamodeld i created? with urlbyappendingpathcomponent: creat sqlite databas call code.sqlit made automat core-data code? purpos method exactly? help tip would realli awesome!
163,t225,neutral,"also, queri complet vulner sql injection. if know is, look up."
164,t227,positive,kind :) paul s. approach good one act like polyfill.
165,t228,positive,<@user> absolutely. i never solv xto-1 issu end creat mirror imag sprites. i prais genius creat keyboard shortcut day!
166,t230,neutral,just use appropi font enclos string asterix.
167,t231,negative,i'm troubl set default charact set jvm (and bit afraid mess up!)
168,t233,negative,"<@user> inde strang enough `files` recurs delet method... that sound like obvious thing have. but probabl isn't. how deal errors, instanc"
169,t234,neutral,"<@user>, i'm say singleton evil, i'm say consid reason. i use sometimes, i often find i would better without them. i'm go start flame war singleton here, doubt (otherwise, ask question?)... mayb there enough reason use them?"
170,t235,neutral,"the correct/idiomat solut (if cannot avoid collect begin with) use put lambda go make anyth easier. in fact, it'll creat work.of cours realli hate use avoid it, it'll realli help much: you could emul function style concept method invok action object realli easier check deal action instead functions:"
171,t236,negative,"oh, bummer, i think got right now?"
172,t237,positive,"i think json incorrect format. tri this:chang operationcontract tri ad follow request made: if still work, tri overrid method class. now make object call method see requir json format. after get requir json format, tri send json format.hop help! thank"
173,t239,positive,try: this make open pop-up (unless default browser set different)although recommend use pop up anymor user find extrem annoying.hop helped.
174,t241,positive,"great hear! good luck implementing. if questions, feel free ask :)"
175,t243,negative,"most time iphon program crash, compil show stack full no's, no make sens me. veri rare point problem might most useless no's. how make sure program crash development/testing, show place caus crash?"
176,t245,neutral,you see w3c exampl fine! delet cooki javascript delet cooki simple. just set expir paramet pass date:
177,t248,positive,"<@user> excel answer!! save day!!! i forgot req res handl one connection, i dont tri call res.end(). thank much!"
178,t249,neutral,"there great answer first half <link> second half god good answer manpage, post rmcfrazier: <link> combinatorics:""ther devast collis attack md5. (...) in contrast, sha1 appear much secure. while known attack sha1, much less serious attack md5. for reason, sha1 much better choic md5 mani settings."" md5""warning: this function creat random unpredict strings. this function must use secur purposes. use cryptograph secur random function/gener cryptograph secur hash function creat unpredict secur ids."" uniqid"
179,t250,neutral,"timeout basically, pop download window never advance, couupl minut timeout saying: ""internet explor cannot download filenam webserver"""
180,t251,positive,"i script i need process file use ajax. everyth script works, except i get right variable. i tri everyth i current place i wonder anyon could tell success set whatev field as variabl ajax script i have. all help extrem appreciated, thank help!"
181,t252,neutral,"update: i'v tri sun vm 1.5, 1.6 jrockit vm 1.5 make sure network behaviour vm-specific."
182,t253,positive,"i'm realli glad worked! btw, best way show appreci stack overflow someon help solv problem upvot answer mark solv :)"
183,t254,positive,"i javascript document.writ function return textarea valu field like so: now, i need output return document.writ part bbcode output, valu fetch document.writ function [b]hello[/b], return ""hello"" [b]hello[/b]. ani help would extrem appreciated!"
184,t258,positive,edit post. hope helps; feel free keep ask questions!
185,t259,negative,"is search replac way renam asp control code behind file? i find extrem annoying, way i find. scenario: i'll find variabl need renam (usual meet name convention) i'll renam variabl aspx/ascx file. i'll go code behind file search replace. i get annoy are better way prefer would touch similar name variabl anoth scope project. i'm vs2008 resharp -- vs2010 address perhaps?"
186,t260,neutral,"at guess, probabl defin object vb s, someth like this: if so, forc vb go autom interfac (idispatch). basically, know type go assign run-time, invok method object via idispatch::invoke. to that, look inform need invoc object run time.bi contrast, c++ code probabl early-bound, mean offset com object vtabl compil direct code. in case, when/if chang code offset valid more, code fail horribly."
187,t262,neutral,hibernate.initialize()
188,t264,negative,"i'v done easi .hover(function() statement jquery. when hover text simpli want #div.fadein, non-hov fadeout. it works. but spam text-trigg hover un-hov realli quick stop anim begin give blink effect. it kind loops, realli annoying!"
189,t265,negative,damn..that afraid of!!
190,t266,positive,"first: i like approach concentr clean proper state handl application.excellent! but, said: android kill activ manag lifecycl itself. the os may releas memori alloc activ soon possibl requir alloc again. this mean fragment may may get destroyed. as see stack trace, fragmentactivity.oncr called.thi obvious inddic exist resourc creat within context old activ access abl anymore. the context guarant exist applic lifecycl applic context. for resourc awar handl proper creat resourc may invalid time tri access them."
191,t267,negative,"you could tri one (not optimal, i afraid):"
192,t269,neutral,"i'm work data warehous which, end, requir creat report base busi hours. currently, time dimens granular hour. i'm wonder i modifi time dimens includ bit field ""busi hour"" i creat sort calcul measur analysi end? ani exampl would super magnificent?"
193,t270,neutral,are refer d version?
194,t271,neutral,i plan use tfs.
195,t272,positive,never knew vs macros. it awesome!!! just i need coupl scenarios. thank lot
196,t273,positive,"wow, guy repli quickly! i'm hard time follow :)"
197,t274,positive,you creat new model hold referr code. given model syntax. add these line last line models.pi abov mention line creat user profil time creat user.hop work you!!!
198,t275,positive,"i use follow code right now. the tabl myisam 90mb. term fulltext index varchar(255). there 1,000,000 row table. i wonder solut resourc usag friend fulltext search mysql? especi term memory. by say solution, i refer solut type databases, tabl structur etc. solut would adapt standart vps host general, would extrem super duper perfect! thank time!"
199,t280,positive,link work fine!
200,t282,neutral,here new link: <link>
201,t284,negative,offici guid says: tomcat deploy trivial requir copi war file tomcat_home/webapp folder restart container. but realli pain :-( doe way deploy app without restart tomcat
202,t286,positive,"found solution, would still love see alternatives!"
203,t287,positive,wow peopl thank you so much for your answers!!!! (bow)
204,t288,positive,"wow! actually, that near <@user> wrote, code :) hope helps."
205,t289,negative,"i'v updat fiddle. i use class get work, 100% perfect imo."
206,t291,negative,i use multipl request batch 10. i want anger api!
207,t292,neutral,"a generic ""sum"" method would simpl example. t sum(ienumer sequence)"
208,t293,positive,i stumbl upon site realli love way done navig left hand site. i notic site use jqueri didnt see plugins. ani idea go this?
209,t294,neutral,weird behaviour!
210,t295,negative,whi use 80% cpu hover links? as see video uploaded: cpu goe >80% cpu move mous links. my style item follow why?
211,t296,negative,"i wrote function, version speak of... i'm afraid i'm faimiliar mapping!"
212,t297,negative,"i'm novic programm attempt assembl first time. sorri advanc incred lame question. i charact store eax register, i need move dl register. when i try: mov dl, eax i get error c2443: operand size conflict. i know eax regist 32 bit dl 8 bit... i something?? how i go solv this."
213,t298,positive,updat answer. this might help you! great! might want edit java program permiss specifi folder creat tri chmod 777 permiss via termin php?
214,t301,positive,"i clue approach would feasibl not, two thing could try:1.creat singleton class arraylist. the class might look like this: to access list could write: name getter method get set it. els might get .also receiv might start list filled. so alway check null use it.2.th option store list cach object like check even case broadcast receiv use it.hop helps!"
215,t302,negative,you need target window phone 8.1.and port code directx 11 call it painful! you still use featur level.
216,t303,neutral,"the problem alreadi stringifi respons json pass anoth data structur (now string) order return json. so basic doubl encod ""string"" get encoded.so pass data once: so small collect like this: yo get result like this: if realli worri order two key use bson ""dumps"" go string decod standard json decod order get nativ dict mongo object deserialized, put order dict.but realli client care order key expect root elements."
217,t304,negative,"the plan make mum/dad access upgradeyourbrows page grow last days, caffein bug fill angri rage (the green kind)"
218,t305,neutral,"the problem third integ variable, miss underscore. see code: <link> code!simon"
219,t306,negative,i site host bluehost server. i work allvideo plugin video insid articl content. when tri upload video filename.flv folder/images/stories/videos/ get error busi agility_vs.flv: unknown bytes: 0% complet failed! :unknown error disk quota exceeded. what may problem this?? even increas size destin folder. but still get error. whi get unknown byte error.
220,t307,positive,"you wrong place, must element, you tri like refer here hope help you!"
221,t308,negative,"i realli hate jquery, code look look forward publish project final jquery..anyhow.. look replac jqueri selector $("""") function know function requir return dom element. otherwis error flag java script abort."
222,t311,negative,that realli stinks! i afraid that...
223,t312,positive,i know item.roleassignments.remov command i found way list current assign group i could loop remov them. hope help guys!
224,t313,positive,"oops! yeah, radio function heh. it turn straightforward i thought. give minut i think i fix it."
225,t314,neutral,in rail id assign databas use sequenc autoincr integ field type.
226,t315,positive,great! i will take look later. cheers.
227,t316,positive,"i read i realli love question. naturally, interest question pop head... how add event (of applications) control panel -> sound audio devic -> sound -> program events? and anoth relat question, i suppos answer well is... how i play sound specifi control panel, event applic occurs?"
228,t317,neutral,then i suggest use go advanc search form php tutori use wp plugins.
229,t319,negative,"that sad:-( i need debugging, i need purpose."
230,t320,positive,"i old friend mathematician. he math compress formulas, incred beautiful. he work program call mathematica, transform formula 3d-shapes. i wonder possibl obtain figur use canva javascript? see attach formula figure. i know littl myself. but i would delight one could show example."
231,t321,neutral,i run exe .net app tri redirect standard streamreader. the problem i myprocess.ex >> out.txt out.txt close 14mb. when i command line version fast i run process csharp app excruci slow i believ default streamread flush everi 4096 bytes. is way chang default stream reader process object?
232,t322,negative,"sorry! syntax issue, fix work now...what question?"
233,t323,negative,"the function extrem annoy use prototyp someth insan like that. you'd ampersand-cal overrid prototype: .however, tri transpos matrix, (which would produc continu list like we could use iter conjunct works, sever overthink problem. let swap indices:"
234,t324,positive,"what problem? creat addit page add wp, insert code there, make output page whatev want. if know php take 15 min."
235,t326,positive,"hope works, upvot answer i'd realli appreci it! :)"
